,Node 1,Node 2,OHL Length (km),Cable Length (km),Circuit Type,R (% on 100MVA),X (% on 100MVA),B (% on 100MVA),Winter Rating (MVA),Spring Rating (MVA),Summer Rating (MVA),Autumn Rating (MVA),Dataframe,Node 1 bus_id,Node 2 bus_id,Voltage (kV) Node 1,Voltage (kV) Node 2
243,EASO41,WYMO41,35.272,0.0,OHL,0.0383,0.6135,23.2517,2779.0,2568.0,2217.0,2568.0,nget_circuits,196,840,400.0,400.0
244,EASO4A,RYHA4B,58.769,0.0,OHL,0.0638,1.0222,38.7404,2779.0,2569.0,2217.0,2569.0,nget_circuits,200,598,400.0,400.0
245,EASO4B,RYHA4A,58.95,0.0,OHL,0.064,1.0253,38.8593,2779.0,2569.0,2217.0,2569.0,nget_circuits,197,597,400.0,400.0
246,EASO4B,WYMO41,35.272,0.0,OHL,0.0383,0.6135,23.2517,2779.0,2568.0,2217.0,2568.0,nget_circuits,197,840,400.0,400.0
247,ECLA41,LEIB4B,15.985,0.0,OHL,0.0141,0.2745,10.7511,2779.0,2568.0,2217.0,2568.0,nget_circuits,194,398,400.0,400.0
248,ECLA41,PAFB4A,44.72,0.0,OHL,0.0814,0.8898,25.9172,2009.0,1911.0,1746.0,1911.0,nget_circuits,194,520,400.0,400.0
249,ECLA41,PAFB4B,44.886,0.0,OHL,0.0817,0.8931,26.0131,2009.0,1911.0,1746.0,1911.0,nget_circuits,194,519,400.0,400.0
250,EGGB41,MONF4A,10.37,0.0,OHL,0.0113,0.1804,6.836,1970.0,1970.0,1970.0,1970.0,nget_circuits,202,454,400.0,400.0
251,EGGB41,ROCH4A,84.875,0.7,Composite,0.1416,1.6214,64.456,1239.0,1239.0,1122.0,1122.0,nget_circuits,202,579,400.0,400.0
252,EGGB41,THOM41,28.07,0.197,Composite,0.0293,0.4897,21.8489,2217.0,2217.0,1801.0,1801.0,nget_circuits,202,696,400.0,400.0
253,EGGB42,FERR4A,11.864,0.0,OHL,0.0128,0.2063,7.8228,2779.0,2568.0,2217.0,2568.0,nget_circuits,201,231,400.0,400.0
254,EGGB42,MONF41,10.37,0.0,OHL,0.0113,0.1804,6.836,2779.0,2568.0,2217.0,2568.0,nget_circuits,201,456,400.0,400.0
255,EGGB42,STSB4B,48.084,0.0,OHL,0.052,0.8361,31.7071,2779.0,2568.0,2217.0,2568.0,nget_circuits,201,668,400.0,400.0
256,ELLA21,FERR22,45.565,0.0,OHL,0.1573,1.8245,13.1474,1324.0,1260.0,1151.0,1260.0,nget_circuits,204,225,275.0,275.0
257,ELLA21,KIRK21,33.995,5.044,Composite,0.1618,1.5765,64.0738,762.0,762.0,619.0,619.0,nget_circuits,204,373,275.0,275.0
258,ELLA21,STAL21,39.6,0.0,OHL,0.1647,1.6624,10.8691,955.0,882.0,762.0,882.0,nget_circuits,204,655,275.0,275.0
259,ELST12,HEND11,0.0,1.0,Cable,0.08099999999999999,0.634,16.009999999999998,299.0,275.0,218.0,275.0,nget_circuits,209,307,132.0,132.0
260,ELST21,MILH2A,6.375,6.338,Composite,0.0548,0.3963,55.677,524.0,524.0,430.0,430.0,nget_circuits,208,444,275.0,275.0
261,ELST21,MILH2B,6.375,6.282,Composite,0.0546,0.3952,55.2004,524.0,524.0,430.0,430.0,nget_circuits,208,443,275.0,275.0
262,ELST21,WARL21,59.208,0.261,Composite,0.2449,2.4665,19.2619,762.0,762.0,619.0,619.0,nget_circuits,208,763,275.0,275.0
263,ELST21,WATS21,5.398,0.399,Composite,0.0254,0.2396,5.8016,762.0,762.0,619.0,619.0,nget_circuits,208,770,275.0,275.0
264,ELST22,WARL21,59.244,0.59,Composite,0.2456,2.4772,22.8481,762.0,762.0,619.0,619.0,nget_circuits,213,763,275.0,275.0
265,ELST22,WATS22,5.398,0.222,Composite,0.0251,0.2347,3.8776,762.0,762.0,619.0,619.0,nget_circuits,213,769,275.0,275.0
266,ELST41,ELST4A,0.0,0.0,Series Reactor,0.0125,1.0,0.0,2000.0,2000.0,2000.0,2000.0,nget_circuits,212,211,400.0,400.0
267,ELST41,SJOW41,0.0,20.0,Cable,0.014,0.176,244.29,1767.0,1732.0,1663.0,1732.0,nget_circuits,212,650,400.0,400.0
268,ELST4A,SUND41,34.834,0.0,OHL,0.0749,0.6969,20.0233,1590.0,1500.0,1346.0,1500.0,nget_circuits,211,674,400.0,400.0
269,ELST4B,SUND42,34.706,0.0,OHL,0.0747,0.6944,19.9464,1590.0,1500.0,1346.0,1500.0,nget_circuits,206,672,400.0,400.0
270,ENDE41,PAFB4A,41.13,0.0,OHL,0.0709,0.8051,24.2569,2009.0,1911.0,1746.0,1911.0,nget_circuits,214,520,400.0,400.0
271,ENDE41,PAFB4B,41.13,0.0,OHL,0.0709,0.8051,24.2569,2009.0,1911.0,1746.0,1911.0,nget_circuits,214,519,400.0,400.0
272,ENDE41,RATS41,36.941,0.0,OHL,0.0399,0.5872,26.8034,2779.0,2568.0,2217.0,2568.0,nget_circuits,214,564,400.0,400.0
273,ENDE41,RATS41,36.873,0.0,OHL,0.0398,0.5862,26.7543,2779.0,2568.0,2217.0,2568.0,nget_circuits,214,564,400.0,400.0
274,EXET41,TAUN41,38.147,0.0,OHL,0.0694,0.759,22.1074,2009.0,1911.0,1746.0,1911.0,nget_circuits,216,687,400.0,400.0
275,EXET41,TAUN42,38.107,0.0,OHL,0.0693,0.7582,22.0842,2009.0,1911.0,1746.0,1911.0,nget_circuits,216,686,400.0,400.0
276,FAWL41,MANN41,57.703,3.412,Composite,0.0646,0.9849,77.9055,2779.0,2568.0,2217.0,2568.0,nget_circuits,219,424,400.0,400.0
277,FAWL41,MAWO41,18.639,0.0,OHL,0.0214,0.3062,13.1667,2423.0,2327.0,2167.0,2327.0,nget_circuits,219,425,400.0,400.0
278,FECK41,HAMH41,43.314,0.0,OHL,0.078,0.8621,25.1018,2009.0,1911.0,1746.0,1911.0,nget_circuits,222,285,400.0,400.0
279,FECK41,IRON41,66.123,0.0,OHL,0.123,1.3148,38.3377,2009.0,1911.0,1746.0,1911.0,nget_circuits,222,339,400.0,400.0
280,FECK41,MITY41,78.649,0.0,OHL,0.1527,1.5677,45.4527,1967.0,1874.0,1712.0,1874.0,nget_circuits,222,450,400.0,400.0
281,FECK41,WALH41,67.986,0.0,OHL,0.1237,1.3527,39.4005,1967.0,1875.0,1712.0,1875.0,nget_circuits,222,752,400.0,400.0
282,FENW4A,KEAD42,42.517,0.0,parallel OHL,0.0198,0.2161,24.6399,3075.0,2876.0,2663.0,2876.0,nget_circuits,223,356,400.0,400.0
283,FENW4A,THOM42,8.287,0.0,OHL,0.0165,0.1653,4.7826,2009.0,1911.0,1746.0,1911.0,nget_circuits,223,698,400.0,400.0
284,FERR21,MONF21,4.485,0.0,OHL,0.0103,0.1651,1.3966,1372.0,1307.0,1207.0,1307.0,nget_circuits,227,458,275.0,275.0
285,FERR21,SKLG21,20.033,0.685,Composite,0.0991,0.9874,9.8077,865.0,823.0,752.0,823.0,nget_circuits,227,634,275.0,275.0
286,FERR22,FERR2B,0.554,0.16,Composite,0.002,0.0234,1.3262,1031.0,1031.0,981.0,981.0,nget_circuits,225,226,275.0,275.0
287,FERR23,FERR2A,0.586,0.0,OHL,0.0013,0.0216,0.1825,1381.0,1307.0,1227.0,1307.0,nget_circuits,224,228,275.0,275.0
288,FERR2A,MONF22,3.922,0.0,OHL,0.009,0.1444,1.2212,1204.0,1115.0,1018.0,1115.0,nget_circuits,228,457,275.0,275.0
289,FERR2B,SKLG21,19.545,0.56,Composite,0.0975,0.9671,8.7544,865.0,823.0,752.0,823.0,nget_circuits,226,634,275.0,275.0
290,FFES21,TRAW21,7.291,0.133,Composite,0.0771,0.3081,2.8868,480.0,480.0,330.0,330.0,nget_circuits,232,730,275.0,275.0
291,FFES22,TRAW21,7.358,0.0,OHL,0.0772,0.3075,2.0153,551.0,512.0,442.0,512.0,nget_circuits,233,730,275.0,275.0
292,FIDF21,FIDF21,0.0,0.0,Series Reactor,0.0125,1.0,0.0,750.0,750.0,750.0,750.0,nget_circuits,236,236,275.0,275.0
293,FIDF21,FIDF21,0.0,0.0,Series Reactor,0.0125,1.0,0.0,750.0,750.0,750.0,750.0,nget_circuits,236,236,275.0,275.0
294,FIDF21,FROD21,9.145,0.0,OHL,0.021,0.3366,2.8484,1316.0,1213.0,1104.0,1213.0,nget_circuits,236,254,275.0,275.0
295,FIDF21,FROD22,9.145,0.0,OHL,0.021,0.3366,2.8484,1316.0,1213.0,1104.0,1213.0,nget_circuits,236,255,275.0,275.0
296,FIDF21,RAIN21,7.963,0.0,OHL,0.0183,0.2678,2.7299,1316.0,1213.0,1104.0,1213.0,nget_circuits,236,559,275.0,275.0
297,FIDF21,RAIN21,7.963,0.0,OHL,0.0183,0.2678,2.7299,1316.0,1213.0,1104.0,1213.0,nget_circuits,236,559,275.0,275.0
298,FLEE41,LOVE41,41.095,0.0,OHL,0.064,0.7885,24.661,3140.0,3086.0,2999.0,3086.0,nget_circuits,237,418,400.0,400.0
299,FLEE41,LOVE41,41.095,0.0,OHL,0.064,0.7885,24.661,3048.0,3048.0,2999.0,3048.0,nget_circuits,237,418,400.0,400.0
300,FOUR21,HARK24,55.711,0.0,OHL,0.3289,2.3608,15.2112,854.0,795.0,700.0,795.0,nget_circuits,244,292,275.0,275.0
301,FOUR21,STEW21,27.731,0.0,OHL,0.1637,1.1751,7.5717,854.0,795.0,700.0,795.0,nget_circuits,244,666,275.0,275.0
302,FROD41,ROCK41,1.197,0.0,OHL,0.0022,0.0238,0.6917,1100.0,1100.0,1100.0,1100.0,nget_circuits,256,581,400.0,400.0
303,GART4A,HUMR41,37.372,0.0,OHL,0.0413,0.7015,23.0779,3156.0,3032.0,2823.0,3032.0,nget_circuits,258,317,400.0,400.0
304,GART4A,KEAD43,5.711,0.0,OHL,0.0062,0.0993,3.7642,3180.0,3000.0,2692.0,3000.0,nget_circuits,258,355,400.0,400.0
305,GART4B,KEAD41,5.689,0.0,OHL,0.0062,0.0989,3.7497,3180.0,3000.0,2692.0,3000.0,nget_circuits,257,353,400.0,400.0
306,GART4B,KILL41,34.462,0.0,OHL,0.038,0.6467,21.2883,3156.0,3032.0,2823.0,3032.0,nget_circuits,257,367,400.0,400.0
307,GRAI41,GRAI41,0.0,0.0,Series Reactor,0.0027,2.3091,0.0,2002.0,2002.0,2002.0,2002.0,nget_circuits,259,259,400.0,400.0
308,GRAI41,GRAI41,0.0,0.0,Zero Length,0.0,0.0,0.0,3326.0,3160.0,2971.0,3160.0,nget_circuits,259,259,400.0,400.0
309,GRAI41,GRAI41,0.0,0.0,Zero Length,0.0,0.0,0.0,3326.0,3160.0,2971.0,3160.0,nget_circuits,259,259,400.0,400.0
310,GRAI41,GRAI41,0.0,0.0,Zero Length,0.0,0.0,0.0,3326.0,3160.0,2971.0,3160.0,nget_circuits,259,259,400.0,400.0
311,GRAI41,KEMS41,7.992,1.93,Composite,0.0106,0.1512,34.7588,2643.0,2570.0,2397.0,2570.0,nget_circuits,259,365,400.0,400.0
