Node,Space,23/24,24/25,25/26,26/27,27/28,28/29,29/30,30/31
DUMF10,,0,12,12,12,12,12,12,12
DUNB1Q,,827,846,869,903,942,995,1057,1137
DUNB1R,,2,2,0,0,0,0,0,0
DUNF1Q,,11,11,11,12,12,12,12,13
DUNF1R,,334,350,406,452,485,519,544,581
DUNO1Q,,20,23,23,24,25,26,27,29
DUNO1R,,24,24,24,25,26,27,28,28
DYCE1Q,,17,17,17,18,19,20,22,23
DYCE1R,,16,16,16,16,17,18,19,20
EALI20,,22,23,53,85,86,87,89,91
EASO40,,10,10,10,10,10,10,10,10
EAST1Q,,26,30,31,32,33,34,36,38
ECCF1J,,24,74,75,75,76,77,78,80
ECCF1K,,13,13,13,13,13,14,14,14
ECCL10,,12,20,27,35,83,91,100,108
ECLA40_EME,,0,-3,-10,-10,-10,-10,-10,-10
ECLA40_SEP,,95,95,126,154,154,155,156,157
EERH20,,86,90,94,95,98,101,108,113
EKIL2S,,7,2,2,2,2,2,2,3
EKIL2T,,499,515,599,604,610,618,632,662
EKIS20,,16,16,17,17,18,19,21,22
ELDE1Q,,34,69,70,70,71,72,73,74
ELDE1R,,8,8,8,9,9,10,10,10
ELGI1Q,,45,51,57,106,113,119,126,133
ELGI1R,,131,132,135,139,143,146,150,158
ELLA20,,17,20,24,48,52,56,60,64
ELST20,,10,10,10,10,10,10,10,10
ELVA2Q,,38,42,87,92,97,103,108,114
ELVA2R,,57,57,59,60,60,62,63,64
ENDE40,,0,-3,-10,-10,-10,-10,-10,-10
ERSK1Q,,34,69,70,70,71,72,73,74
ERSK1R,,8,8,8,9,9,10,10,10
EXET40,,13,18,22,27,32,37,42,47
FASN20,,162,162,167,186,186,261,261,266
FAUG10,,13,13,13,13,13,13,14,14
FAWL40,,178,194,200,207,216,224,232,242
FECK20,,45,72,74,76,78,80,82,85
FECK40,,252,281,288,293,302,308,322,342
FERR20_YED,,27,27,28,29,30,31,33,35
FERR2A_YED,,16,17,17,17,18,18,19,19
FERR2B_YED,,128,130,127,125,121,123,131,140
FETT20,,29,29,34,53,53,128,128,133
FIDD10,,137,142,142,143,143,143,143,143
FIDF20_SPM,,38,23,18,24,20,21,12,13
FLEE40,,13,13,13,13,14,15,15,16
FOUR20,,28,34,36,60,61,62,64,65
FRAS1Q,,110,114,121,143,165,187,207,228
FRAS1R,,164,168,176,185,195,206,217,229
FROD2A,,97,99,102,105,108,111,115,121
FROD2B,,38,23,18,24,20,21,12,13
FROD40,,372,344,338,355,349,353,350,359
FWIL1Q,,104,114,121,252,258,264,269,275
FWIL1R,,168,169,173,180,185,191,198,208
GALA10,,-3,8,10,5,9,11,22,25
GIFF2Q,,76,78,81,85,89,93,97,103
GIFF2R,,38,39,40,42,44,46,48,51
GLFA10,,13,13,13,13,13,13,14,14
GLLE10,,2,2,2,2,2,2,2,2
GLLU1Q,,0,0,8,8,8,8,8,8
GLLU1R,,15,16,16,16,17,17,18,18
GLNI10,,2,2,2,2,2,2,2,2
GLRO20,,182,185,194,201,209,219,226,234
GORG1Q,,40,40,41,41,41,41,42,42
GORG1R,,15,16,16,16,17,17,18,18
GOVA1Q,,211,213,219,226,234,245,252,262
GOVA1R,,9,9,9,9,9,9,10,10
GREN40_EME,,15,15,16,17,18,19,21,22
GREN40_EPN,,17,20,23,26,29,33,36,40
GRIW40,,11,11,37,37,38,39,39,40
GRMO20,,133,191,193,149,153,160,207,212
GRUB1Q,,18,18,19,20,20,21,22,23
GRUB1R,,0,0,0,0,0,0,0,0
HACK2A,,21,21,21,22,23,24,24,25
HACK2B,,22,24,26,28,30,31,33,35
HACK40,,141,144,148,154,160,182,204,210
HAGR1Q,,179,180,182,186,190,194,198,207
HAGR1R,,9,9,9,9,9,9,10,10
HAMH40_EME,,15,15,16,17,18,19,21,22
HARK20,,126,128,131,136,141,146,151,157
HARK40,,50,56,56,56,56,57,57,59
HARM20,,7,2,2,3,3,3,3,4
HAWI10,,4,4,4,4,4,4,4,4
HAWP20,,7,2,2,3,3,3,3,4
HELE10,,371,374,383,403,418,437,463,505
HEYS40,,0,0,0,0,0,0,0,0
HUNF1Q,,359,361,367,372,383,397,411,432
HUNF1R,,14,14,14,14,14,14,8,4
HURS20,,223,209,200,198,190,191,189,193
HUTT40,,11,10,10,11,16,17,17,18
IMPP40,,37,41,41,43,44,45,47,48
INDQ40,,13,18,22,27,32,37,42,47
INKE1Q,,6,5,5,5,2,3,3,3
INKE1R,,14,14,14,14,14,14,8,4
INNE1Q,,182,185,194,201,209,219,226,234
INNE1R,,0,0,0,0,0,0,0,0
INWI1Q,,24,24,24,24,24,24,24,25
INWI1R,,285,296,320,354,343,368,382,396
IROA20_WPDWM,,47,48,49,49,50,50,52,54
IRON40,,98,97,97,97,98,99,101,105
IVER20,,51,52,53,54,57,60,64,67
JOHN1Q,,6,5,5,5,2,3,3,3
JOHN1R,,160,162,164,166,168,172,177,187
JORD20,,11,11,37,37,38,39,39,40
KAIM20,,18,24,51,57,64,71,78,85
KEAD40,,22,22,19,20,21,22,24,25
KEAR20,,19,19,20,20,21,22,23,23
KEIT10,,0,0,0,0,0,0,0,0
KEMS40,,30,29,29,29,30,30,30,31
KENG40,,176,161,166,175,185,196,206,218
KEOO10,,18,24,51,57,64,71,78,85
KIBY20,,18,17,10,4,2,4,6,4
KIER1Q,,-11,-11,-11,-11,-11,-11,-11,-11
KIER1R,,30,31,32,33,34,35,35,36
KIIN10,,28,29,30,31,39,91,92,95
KILB1Q,,1,1,1,1,1,1,1,1
KILB1R,,155,159,161,164,167,173,179,202
KILO10,,22,28,35,41,48,55,61,68
KILS20,,29,30,31,32,34,35,36,37
KILT2Q,,164,168,176,185,195,206,217,229
KILT2R,,51,52,55,58,61,65,68,73
KILW1Q,,29,30,31,32,34,35,36,37
KINO40,,717,736,758,794,836,891,957,1047
KINT10,,22,28,35,41,48,55,61,68
KIRK20,,22,22,19,20,21,22,24,25
KITW20,,0,0,0,0,0,0,0,0
LACK20,,14,14,14,13,10,10,13,14
LAIR1Q,,0,0,0,0,0,0,0,0
LALE20_SEP,,222,234,245,252,259,268,279,300
LALE20_SPN,,15,15,15,16,17,19,20,22
LAND4A,,22,22,22,22,22,23,23,23
LAND4B,,15,15,15,15,15,16,16,17
LEGA40,,40,42,44,42,46,50,55,60
LEIB4A,,24,24,24,24,24,24,24,25
LEIB4B,,156,158,159,161,164,168,173,179
LEVE1Q,,261,282,487,534,847,1005,1012,1037
LEVE1R,,51,52,55,58,61,65,68,73
LHOR40,,22,22,22,22,22,22,22,22
LING1Q,,333,360,359,383,382,383,389,398
LING1R,,14,14,14,14,14,14,14,14
LINM1Q,,145,144,146,148,150,152,185,186
LINM1R,,14,14,14,14,14,14,14,14
LISD20,,46,46,46,46,46,46,46,46
LITT40_LPN,,494,505,517,539,563,592,624,665
LITT40_SPN,,355,368,383,406,421,443,468,502
LOVE40,,358,358,361,365,370,375,379,382
LUNA1Q,,-2,-2,-2,-2,-2,-2,-2,-2
LUNA1R,,76,81,82,83,83,85,86,90
LYND1Q,,11,13,15,16,18,20,22,23
LYND1R,,-16,-16,-30,-43,-61,-61,-61,-61
MACC20,,19,19,20,20,21,22,23,23
MACD10,,375,382,392,405,420,435,451,469
MAGA20,,366,360,381,399,421,439,455,474
