Connection Site,etys_sub_map,HOST TO,Project ID,Project No
Chleansaid Wind Farm 132kV Substation,0,SHET,a0l4L0000005iY6,PRO-001608
Cilfynydd 400kV Substation,CILF4,NGET,a0l4L0000005iz1,PRO-002008
Cilfynydd 400kV Substation,CILF4,NGET,a0l4L0000005idl,PRO-002088
Cilfynydd 400kV Substation,CILF4,NGET,a0l8e000000f6A1,PRO-003962
Cilfynydd 400kV Substation,CILF4,NGET,a0l8e0000010wfH,PRO-002756
Cilfynydd 400kV Substation,CILF4,NGET,a0l4L0000005idM,PRO-001663-1
Cilfynydd 400kV Substation,CILF4,NGET,a0l4L0000005idM,PRO-001663-2
Cilfynydd 400kV Substation,CILF4,NGET,a0l4L000002yQWW,PRO-002540
Cilfynydd 400kV Substation,CILF4,NGET,a0l4L0000005iY5,PRO-001830
Cilfynydd 400kV Substation,CILF4,NGET,a0l8e000000f41s,PRO-003828
Cilfynydd 400kV Substation,CILF4,NGET,a0l4L0000005izF,PRO-001497
Cirrus Offshore Windfarm Substation,0,SHET,a0l4L0000005izG,PRO-001698
Clash Gour Wind Farm 132kV Substation,0,SHET,a0l4L0000005iaa,PRO-001022
Clashindarroch Substation,0,SHET,a0l4L0000005iV0,PRO-000040
Clauchrie 132kV Substation,0,SPT,a0l4L0000005iab,PRO-001021
Cleve Hill 400kV Substation,CLEH4,NGET,a0l4L0000005iwH,PRO-001097
Cloiche 132kV Substation,0,SHET,a0l4L0000005ilx,PRO-000425
Cloiche 132kV Substation,0,SPT,a0l4L0000005iZo,PRO-001387
Cloud Hill Wind Farm 132kV Substation,0,SPT,a0l4L0000005iYO,PRO-001938
Clune 132/33 kV Substation,0,SHET,a0l8e0000012j2r,PRO-004620
Clunie GSP,0,SHET,a0l4L0000005img,PRO-000072
Clyde North  275/33kV Substation,0,SPT,a0l4L0000005inD,PRO-000095
Clyde South 275/33kV Substation,0,SPT,a0l4L0000005inE,PRO-000096
Cnoc Buidhe 132kV/33kV Substation,0,SHET,a0l4L0000005idT,PRO-001672-1
Cnoc Buidhe 132kV/33kV Substation,0,SHET,a0l4L0000005idT,PRO-001672-2
Coalburn 132/33kV Substation,0,SPT,a0l4L0000005inr,PRO-000128
Coalburn 132/33kV Substation,0,SPT,a0l4L0000005io5,PRO-000490
Coalburn 132/33kV Substation,0,SPT,a0l4L0000005io6,PRO-000514
Coalburn 132/33kV Substation,0,SPT,a0l4L0000005isV,PRO-000316
Coalburn 400kV GIS Substation,0,SPT,a0l4L0000005id4,PRO-001459
Coalburn 400kV GIS Substation,0,SPT,a0l4L0000005ifj,PRO-001503
Coalburn 400kV Substation,0,SPT,a0l8e0000011xUT,PRO-003460
Coalburn 400kV Substation,0,SPT,a0l4L0000005j1W,PRO-001780
Coatbridge GSP,0,SPT,a0l4L0000005iUS,PRO-002407
Cockenzie 275kV Substation,0,SPT,a0l8e000000f650,PRO-003951
Cockenzie 275kV Substation,0,SPT,a0l8e000001Hrm5,PRO-004217
Cockenzie 275kV Substation,0,SPT,a0l4L0000005it3,PRO-000348
Cockenzie 275kV Substation,0,SPT,a0l4L0000005izH,PRO-000703
Cockenzie GSP,0,SPT,a0l4L0000005iUd,PRO-002451
Cockenzie GSP,0,SPT,a0l4L0000005iuF,PRO-002209
Coddington 400kV Substation,CODD4,NGET,a0l8e000000ewXh,PRO-003666
Coddington 400kV Substation,CODD4,NGET,a0l8e000000f4x7,PRO-003891
Coddington 400kV Substation,CODD4,NGET,a0l8e000001Hnxl,PRO-004045
Coire Glas GSP,0,SHET,a0l4L0000005imh,PRO-000073-1
Coire Glas GSP,0,SHET,a0l4L0000005imh,PRO-000073-2
Connagill 275kV Substation,0,SHET,a0l8e000000TPSr,PRO-003434
Connah's Quay 400kV Substation,CONQ4,NGET,a0l4L0000005imC,PRO-000058
Connah's Quay 400kV Substation,CONQ4,NGET,a0l4L0000005igI,PRO-001719
Connah's Quay 400kV Substation,CONQ4,NGET,a0l4L0000005imF,PRO-000421
Corby 132kV Substation,EASO1,NGET,a0l4L0000005iVG,PRO-000100
Corriegarth 132/33kV substation,0,SHET,a0l4L0000005inH,PRO-000101
Corriegarth 132/33kV substation,0,SHET,a0l4L0000005imG,PRO-000420
Corriemoillie 132/33kV Substation,0,SHET,a0l4L0000005inI,PRO-000102
Corriemoillie 132kV Substation,0,SHET,a0l8e000000f6u6,PRO-003992
Corriemoillie 132kV Substation,0,SHET,a0l4L0000005iqh,PRO-000227
Corrievarkie 275kV Substation,0,SHET,a0l4L0000005iwZ,PRO-002291
Coryton South 400kV Substation,COSO4,NGET,a0l4L0000005inJ,PRO-000103
Coryton South 400kV Substation,COSO4,NGET,a0l8e000000TPQl,PRO-003407
Coryton South 400kV Substation,COSO4,NGET,a0l4L0000005im2,PRO-000045-1
Coryton South 400kV Substation,COSO4,NGET,a0l4L0000005im2,PRO-000045-2
Costa Head 132/33kV Substation,0,SHET,a0l4L0000005inK,PRO-000104
Cottam 400kV Substation,COTT4,NGET,a0l4L0000005inB,PRO-000093
Cottam 400kV Substation,COTT4,NGET,a0l4L0000005iel,PRO-001502-1
Cottam 400kV Substation,COTT4,NGET,a0l4L0000005iel,PRO-001502-2
Cottam 400kV Substation,COTT4,NGET,a0l4L000002yQWp,PRO-002543
Cottam 400kV Substation,COTT4,NGET,a0l4L0000005iz0,PRO-001401
Cottam 400kV Substation,COTT4,NGET,a0l4L000002yQa3,PRO-002556
Cottam 400kV Substation,COTT4,NGET,a0l8e0000010xfQ,PRO-003077
Cottam 400kV Substation,COTT4,NGET,a0l4L0000005ifW,PRO-001126
Cottered 400kV Substation,COTE4,NGET,a0l4L0000005ivh,PRO-002173
Cottered 400kV Substation,COTE4,NGET,a0l8e000001Hom7,PRO-004092
Cottered 440kW Substation,COTE4,NGET,a0l8e0000010wOn,PRO-002576
Coupar Angus GSP,0,SHET,a0l8e0000011xxA,PRO-003482
Coupar Angus GSP,0,SHET,a0l4L0000005iPx,PRO-000905
Coupar Angus GSP,0,SHET,a0l4L0000005iPS,PRO-001862
Coupar Angus GSP,0,SHET,a0l4L0000005iQX,PRO-001890
Coupar Angus GSP,0,SHET,a0l4L0000005iU3,PRO-001732
Coupar Angus GSP,0,SHET,a0l4L0000005iWL,PRO-000313
Cousland 400kV Substation,0,SPT,a0l4L0000005iwQ,PRO-002145
Coventry 132/275kV,COVE1,NGET,a0l8e0000012i3x,PRO-004603
Coventry 275kV Substation,COVE2,NGET,a0l4L0000005iad,PRO-001005
Cowley 400kV Substation,COWL4,NGET,a0l4L0000005ibM,PRO-001015
Cowley 400kV Substation,COWL4,NGET,a0l4L0000005ixT,PRO-000407-1
Cowley 400kV Substation,COWL4,NGET,a0l4L0000005ixT,PRO-000407-2
Cowley 400kV Substation,COWL4,NGET,a0l4L0000005ic8,PRO-002066
Cowley 400kV Substation,COWL4,NGET,a0l8e0000010wYT,PRO-002677
Cowley 400kV Substation,COWL4,NGET,a0l8e0000010wdp,PRO-002738
Cowley GSP,COWL1,NGET,a0l4L0000005iVt,PRO-000244
Coylton 132/33kV Substation,0,SPT,a0l4L0000005ika,PRO-002287
Coylton 132/33kV Substation,0,SPT,a0l4L0000005iyT,PRO-002454
Coylton 275/33kV Substation,0,SPT,a0l4L0000005ihQ,PRO-001551
Coylton GSP,0,SPT,a0l4L0000005iPm,PRO-000874
Craig Moss Farm 132kV substation,0,SPT,a0l8e0000011y2h,PRO-003498
Craig Watch Substation,0,SHET,a0l4L0000005iyh,PRO-001877
Creachan Wind Farm 132/33kV Substation,0,SHET,a0l8e000000f4yF,PRO-003906
Creag Riabhach 132/33kV Substation,0,SHET,a0l4L0000005ing,PRO-000109-1
Creag Riabhach 132/33kV Substation,0,SHET,a0l4L0000005ing,PRO-000109-2
Creyke Beck 132kV,CREB1,NGET,a0l8e000001HxbR,PRO-004275
Creyke Beck 400kV Substation,CREB4,NGET,a0l4L0000005iZ2,PRO-001972
Creyke Beck 400kV Substation,CREB4,NGET,a0l8e000001Ho7S,PRO-004060
Creyke Beck 400kV Substation,CREB4,NGET,a0l8e0000010wY4,PRO-002672
Creyke Beck GSP,CREB1,NGET,a0l4L0000005iTn,PRO-002062
Creyke Beck GSP,CREB1,NGET,a0l4L0000005iRR,PRO-001905
Creyke Beck GSP,CREB1,NGET,a0l4L0000005iRS,PRO-001906
Crossaig 132kV Substation,0,SHET,a0l4L0000005inf,PRO-000106
Crossaig 132kV Substation,0,SHET,a0l4L0000005im3,PRO-000046
Crossaig 132kV Substation,0,SHET,a0l4L0000005imK,PRO-000416
Crossaig 132kV Substation,0,SHET,a0l4L0000005iu6,PRO-002237
Crossdykes 33kV Substation,0,SPT,a0l4L0000005inj,PRO-000112
Cruachan 275kV Substation,0,SPT,a0l4L0000005iQW,PRO-001889
Crystal Rig 400/132kV Substation,0,SPT,a0l4L0000005ifV,PRO-001127
Crystal Rig 400/132kV Substation,0,SPT,a0l4L0000005imM,PRO-000414
Crystal Rig 400/132kV Substation,0,SPT,a0l4L0000005ipM,PRO-000520
Culham Jet 400kV Substation,CULJ4,NGET,a0l4L0000005iwL,PRO-001946
Culligran GSP,0,SHET,a0l4L0000005imi,PRO-000074
Cumberhead West GSP,0,SPT,a0l4L0000005inl,PRO-000114
Cumberhead West GSP,0,SPT,a0l4L0000005ix7,PRO-000423
Cumbernauld GSP,0,SPT,a0l4L0000005iXf,PRO-000880
Cwm Rheidol,CWMR4,NGET,a0l4L0000005iVK,PRO-000116
Cygnus 220/66kV Offshore Substation,0,SHET,a0l4L0000005izN,PRO-001530
Daer Wind Farm Substation,0,SPT,a0l4L0000005iqV,PRO-000565
Daines 400kV Substation,DAIN4,NGET,a0l8e0000010wSk,PRO-002614
Daines 400kV Substation,DAIN4,NGET,a0l4L0000005iby,PRO-002050
Daines 400kV Substation,DAIN4,NGET,a0l4L0000005iRP,PRO-001902
Dalchork Substation 132 kV,0,SHET,a0l8e0000010wk2,PRO-002807
Dalmally GSP,0,SPT,a0l4L0000005ink,PRO-000113-1
Dalmally GSP,0,SPT,a0l4L0000005ink,PRO-000113-2
Dalmarnock 132 kV Substation,0,SPT,a0l8e000000exgs,PRO-003737
Dalmarnock 132 kV Substation,0,SPT,a0l8e000000TPE0,PRO-003208
Dalmarnock GSP,0,SPT,a0l4L0000005idK,PRO-001660
Dalmarnock GSP,0,SPT,a0l8e0000010wkC,PRO-002809
Dalquhandy 132/33kV Substation,0,SPT,a0l4L0000005inm,PRO-000117
Deanie GSP,0,SHET,a0l4L0000005imj,PRO-000075
Deeside 400kV Substation,CONQ4,NGET,a0l4L0000005ieE,PRO-001062
Dell 132kV Substation,0,SHET,a0l4L0000005ibP,PRO-001012
Denny GSP,0,SPT,a0l8e000000exYN,PRO-003736
Denny GSP,0,SPT,a0l8e0000012eVg,PRO-004368
Dersalloch 132kV Substation,0,SPT,a0l4L0000005imE,PRO-000060
Devol Moor 132kV Substation,0,SPT,a0l4L0000005ivG,PRO-002273
Devol Moor 132kV Substation,0,SPT,a0l8e0000011zGE,PRO-003569
Devol Moor 132kV Substation,0,SPT,a0l4L0000005iyc,PRO-002411
Devol Moor 400kV,0,SPT,a0l8e000001HoYo,PRO-004084
Devonside GSP,0,SPT,a0l4L0000005iaB,PRO-002015
Didcot 400kV Substation,DIDC4,NGET,a0l4L0000005iVN,PRO-000121
Didcot 400kV Substation,DIDC4,NGET,a0l4L0000005ino,PRO-000122
Didcot 400kV Substation,DIDC4,NGET,a0l4L0000005idC,PRO-001468
Didcot 400kV Substation,DIDC4,NGET,a0l4L0000005ivK,PRO-002382
Didcot 400kV Substation,DIDC4,NGET,a0l8e0000010wYx,PRO-002683
Didcot 400kV Substation,DIDC4,NGET,a0l8e0000010wVo,PRO-002649
Didcot 400kV Substation,DIDC4,NGET,a0l4L0000005iMP,PRO-002336
Didcot 400kV Substation,DIDC4,NGET,a0l8e000001HoTd,PRO-004076
Didcot 400kV Substation,DIDC4,NGET,a0l8e000000TPSD,PRO-003426
Dinorwig 400kV Substation,DINO4,NGET,a0l4L0000005im8,PRO-000054
Dogger Bank 220kV Offshores,CREB4,NGET,a0l4L0000005imQ,PRO-000410
Dogger Bank 220kV Offshores,CREB4,NGET,a0l4L0000005imP,PRO-000411
Dogger Bank 220kV Offshores,CREB4,NGET,a0l4L0000005imV,PRO-000404-1
Dogger Bank 220kV Offshores,CREB4,NGET,a0l4L0000005imV,PRO-000404-2
Dorenell 132/33kV Substation,0,SHET,a0l4L0000005ipK,PRO-000522
Dorenell BESS 132KV substation,0,SHET,a0l4L0000005ilv,PRO-000427
Douglas West Extension Windfarm,0,SPT,a0l4L0000005ixI,PRO-000422
Dounreay 400kV,0,SHET,a0l4L0000005ix0,PRO-002100
Dounreay GSP,0,SHET,a0l4L0000005iTj,PRO-001446
Dounreay GSP,0,SHET,a0l4L0000005iUq,PRO-000020
Drakelow 132kV,DRAK1,NGET,a0l4L0000005ib8,PRO-002033
Drakelow 132kV Substation,DRAK1,NGET,a0l4L0000005iz6,PRO-001004
Drakelow 400kV Substation,DRAK4,NGET,a0l8e0000010wbK,PRO-002710
Drakelow 400kV Substation,DRAK4,NGET,a0l4L0000005iwy,PRO-000428
Drakelow 400kV Substation,DRAK4,NGET,a0l4L0000005ieq,PRO-001693-1
Drakelow 400kV Substation,DRAK4,NGET,a0l4L0000005ieq,PRO-001693-2
Drakelow 400kV Substation,DRAK4,NGET,a0l4L0000005ikM,PRO-001803
Drakelow 400kV Substation,DRAK4,NGET,a0l4L0000005iux,PRO-002225
Drakelow 400kV Substation,DRAK4,NGET,a0l4L0000005ilF,PRO-000364
Drakelow GSP,DRAK1,NGET,a0l8e000001HoFx,PRO-004063
Drax 400kV Substation,DRAX4,NGET,a0l4L0000005ixO,PRO-001355
Drax 400kV Substation,DRAX4,NGET,a0l4L0000005ixU,PRO-000129
Drax 400kV Substation,DRAX4,NGET,a0l4L0000005ixV,PRO-000130
Drax 400kV Substation,DRAX4,NGET,a0l4L0000005iUE,PRO-001759
Drax GSP,DRAX1,NGET,a0l4L0000005ifz,PRO-001522
Drum of Clunas 275kV,0,SHET,a0l8e000000f6J0,PRO-003970
Drummuir Windfarm at Keith 33kV Grid Supply Point,0,SHET,a0l4L0000005iVn,PRO-000234
Dumfries GSP,0,SPT,a0l4L0000005iVL,PRO-000118
Dun Hill 132/33kV Substation,0,SPT,a0l4L0000005iqj,PRO-000233-1
Dun Hill 132/33kV Substation,0,SPT,a0l4L0000005iqj,PRO-000233-2
Dun Hill 132/33kV Substation,0,SPT,a0l4L0000005ite,PRO-000359-1
Dun Hill 132/33kV Substation,0,SPT,a0l4L0000005ite,PRO-000359-2
Dun Hill 132/33kV Substation,0,SPT,a0l4L0000005ite,PRO-000359-3
Dunclent 400kV,DUNC4,NGET,a0l8e0000010wlt,PRO-002827
Dunfermline GSP,0,SPT,a0l4L0000005iMV,PRO-002456
Dungeness 275kV Substation,DUNG2,NGET,a0l4L0000005ioG,PRO-000133
Dungeness 400kV Substation,DUNG4,NGET,a0l4L0000005ig5,PRO-001703
Dungeness 400kV Substation,DUNG4,NGET,a0l4L0000005ic4,PRO-002056
Dunlaw Extension 132kV Substation,0,SPT,a0l4L0000005imY,PRO-000061
Dunlop 132kV Substation,DUNL1,NGET,a0l4L0000005iVV,PRO-000160
Dunmaglass 132kV Substation,0,SHET,a0l4L0000005imk,PRO-000076
Dunoon GSP,0,SHET,a0l4L0000005iWy,PRO-002232
Dunstable 400kV Substation,DUNS4,NGET,a0l8e000000TPRe,PRO-003418
Dunstable 400kV Substation,DUNS4,NGET,a0l8e000000ViEz,PRO-004342
Dunstable 400kV Substation,DUNS4,NGET,a0l8e0000010x0F,PRO-003033
Dyce GSP,0,SHET,a0l4L0000005iUa,PRO-001810
Dyce GSP,0,SHET,a0l4L0000005iYK,PRO-001934
EA1N 275/66kV Offshore Platform,FRIS4,NGET,a0l4L0000005irN,PRO-000269
EA2A and EA2B 275/66kV Offshore Platform,FRIS4,NGET,a0l4L0000005ioH,PRO-000134
Earba PSH Powerhouse Substation,0,SHET,a0l8e000000f8OK,PRO-004030-1
Earba PSH Powerhouse Substation,0,SHET,a0l8e000000f8OK,PRO-004030-2
Earl Shilton 275kV,0,NGET,a0l4L0000005iYV,PRO-001950
Earl Shilton 275kV,0,NGET,a0l8e0000011zQG,PRO-003586
Earl Shilton 400kV Substation,0,NGET,a0l8e000000f4nK,PRO-003872
Earl Shilton 400kV Substation,0,NGET,a0l8e0000010weE,PRO-002743
Earraghail 275/33KV Substation,0,SHET,a0l4L0000005ieP,PRO-001139
East Anglia Project Three Offshore Platform,BRFO4,NGET,a0l4L0000005irO,PRO-000270-1
East Anglia Project Three Offshore Platform,BRFO4,NGET,a0l4L0000005irO,PRO-000270-2
East Claydon 400kV Substation,ECLA4,NGET,a0l8e0000010wg5,PRO-002764
East Claydon 400kV Substation,ECLA4,NGET,a0l4L0000005ivL,PRO-002383
East Claydon 400kV Substation,ECLA4,NGET,a0l4L0000005iwg,PRO-002314
East Claydon 400kV Substation,ECLA4,NGET,a0l8e0000010wW3,PRO-002652
East Claydon 400kV Substation,ECLA4,NGET,a0l4L0000005ivt,PRO-001573
East Claydon 400kV Substation,ECLA4,NGET,a0l4L0000005iwI,PRO-001044
East Claydon GSP (SEPD),ECLA1,NGET,a0l4L0000005iXO,PRO-001572
East Kilbride GSP,0,SPT,a0l8e0000011yiJ,PRO-003543
Easterhouse 132kV,0,SPT,a0l8e0000010wPW,PRO-002585
Easterhouse 275kV,0,SPT,a0l4L0000005idp,PRO-002093
Eaton Socon 400kV Substation,EASO4,NGET,a0l8e0000010wWN,PRO-002656
Eaton Socon 400kV Substation,EASO4,NGET,a0l4L0000005ivc,PRO-002218
Eaton Socon 400kV Substation,EASO4,NGET,a0l4L0000005ifs,PRO-001513
Eaton Socon 400kV Substation,EASO4,NGET,a0l4L0000005inp,PRO-000125
Eaton Socon 400kV Substation,EASO4,NGET,a0l4L0000005iuW,PRO-001505
Eccles 132kV Substation,0,SPT,a0l8e000000f4Am,PRO-003836
Eccles 132kV Substation,0,SPT,a0l4L000002yQXd,PRO-002547
Eccles 400kV Substation,0,SPT,a0l8e000000TPHd,PRO-003236
Eccles 400kV Substation,0,SPT,a0l4L0000005idE,PRO-001470
Eccles 400kV Substation,0,SPT,a0l4L0000005ij4,PRO-001779
Edinbane 132/33kV Substation,0,SHET,a0l4L0000005iQ5,PRO-001275
Edinbane GSP,0,SHET,a0l4L0000005ioI,PRO-000135-1
Edinbane GSP,0,SHET,a0l4L0000005ioI,PRO-000135-2
Eggborough 400kV Substation,EGGB4,NGET,a0l4L0000005ibx,PRO-002049
Eggborough 400kV Substation,EGGB4,NGET,a0l4L0000005ikt,PRO-000136
Eggborough 400kV Substation,EGGB4,NGET,a0l8e0000010wQt,PRO-002597
Elchies 132/33kV Substation,0,SHET,a0l4L0000005ixh,PRO-000151
Elderslie 132/33kV Substation,0,SPT,a0l8e000000f6Jt,PRO-003977
Elderslie 132/33kV Substation,0,SPT,a0l4L0000005iWq,PRO-002265
Elgin GSP,0,SHET,a0l8e0000010wVt,PRO-002650
Elland 132kV Substation,ELLA1,NGET,a0l8e000000f4nA,PRO-003870
Elland 275kV Substation,ELLA2,NGET,a0l8e0000011xZ7,PRO-003465
Elmya Grange 400kV,0,NGET,a0l4L0000005il8,PRO-002340
Elstree 132kV Substation,ELST1,NGET,a0l8e000000TPDl,PRO-003205
Elstree 275kV Substation,ELST2,NGET,a0l4L0000005iMT,PRO-000400-1
Elstree 275kV Substation,ELST2,NGET,a0l4L0000005iMT,PRO-000400-2
Elstree 400kV Substation,ELST4,NGET,a0l4L0000005itW,PRO-002169
Elstree 400kV Substation,ELST4,NGET,a0l8e0000010wh8,PRO-002776
Elton 400kV Substation,0,NGET,a0l8e0000010wlU,PRO-002823
Elvanfoot 132kV/33kV Substation,0,SPT,a0l4L0000005igK,PRO-001721
Elvanfoot 275/132/33kV,0,SPT,a0l8e000000TPNH,PRO-003278
Elvanfoot 275/132/33kV,0,SPT,a0l8e000000TPNM,PRO-003279
Elvanfoot 275/132/33kV,0,SPT,a0l4L0000005ims,PRO-000448
Enderby 400kV Substation,ENDE4,NGET,a0l4L0000005ilw,PRO-000426
Enderby 400kV Substation,ENDE4,NGET,a0l8e0000010wYs,PRO-002682
Enderby 400kV Substation,ENDE4,NGET,a0l4L0000005itg,PRO-002177
Enderby 400kV Substation,ENDE4,NGET,a0l4L0000005izz,PRO-000430
Enderby 400kV Substation,ENDE4,NGET,a0l8e000000f4dh,PRO-003854
Enderby 400kV Substation,ENDE4,NGET,a0l8e00000120Nc,PRO-003626
Energy Isles 132kV Substation,0,SHET,a0l4L0000005imt,PRO-000447
Enoch Hill 132/33kV Substation,0,SPT,a0l4L0000005iom,PRO-000152
Eolfi Offshore Substation,0,SHET,a0l4L0000005ihF,PRO-001538
ER BBR Energy 132kV Substation,0,SPT,a0l8e0000011yBv,PRO-003508
ER MSM Energy 132kV Substation,0,SPT,a0l8e0000011xwR,PRO-003480
Eredine GSP,0,SHET,a0l4L0000005itH,PRO-000009
Errochty 132kV Substation,0,SHET,a0l4L0000005ihI,PRO-001541
Euchanhead 132kV Substation,0,SPT,a0l4L0000005ibQ,PRO-001011
Ewe Hill GSP,0,SPT,a0l4L0000005iZA,PRO-001368
Exeter 132kV Substation,EXET1,NGET,a0l8e000000f4y5,PRO-003904
Exeter 400kV Substation,EXET4,NGET,a0l4L0000005iz7,PRO-001047
Exeter 400kV Substation,EXET4,NGET,a0l4L0000005iNp,PRO-001827
Exeter 400kV Substation,EXET4,NGET,a0l4L0000005idf,PRO-002082
Exeter 400kV Substation,EXET4,NGET,a0l4L0000005izU,PRO-000452
Exeter 400kV Substation,EXET4,NGET,a0l4L0000005ivy,PRO-001666
Exeter 400kV Substation,EXET4,NGET,a0l4L0000005iyR,PRO-002264
Exeter GSP,EXET1,NGET,a0l4L0000005iVr,PRO-000241
Fallago 400kV Substation,0,SPT,a0l4L0000005ipG,PRO-000526
Fallago 400kV Substation,0,SPT,a0l4L0000005ioo,PRO-000155
Fasnakyle GSP,0,SHET,a0l4L0000005iml,PRO-000077
Fasnakyle GSP,0,SHET,a0l4L0000005iV8,PRO-000078
Fasque Wind Farm 132kV Substation,0,SHET,a0l4L0000005ibS,PRO-001009
Faw Side Community Wind Farm Substation,0,SPT,a0l4L0000005isG,PRO-000297
Fawley 132kV Substation,FAWL1,NGET,a0l4L0000005iyC,PRO-002356
Fawley 132kV Substation,FAWL1,NGET,a0l4L0000005iyW,PRO-002348
Fawley 132kV Substation,FAWL1,NGET,a0l4L0000005iyD,PRO-002351
Fawley 132kV Substation,FAWL1,NGET,a0l4L0000005iku,PRO-002349
Fawley 400kV Substation,FAWL4,NGET,a0l4L0000005iVH,PRO-000107
Fawley 400kV Substation,FAWL4,NGET,a0l4L0000005iVU,PRO-000157
Fawley 400kV Substation,FAWL4,NGET,a0l4L0000005iXL,PRO-000231
Fawley GSP,FAWL1,NGET,a0l4L0000005il5,PRO-002337
Feckenham 400kV Substation,FECK4,NGET,a0l4L0000005iv8,PRO-002312
Feckenham 400kV Substation,FECK4,NGET,a0l4L0000005ikr,PRO-002189-1
Feckenham 400kV Substation,FECK4,NGET,a0l4L0000005ikr,PRO-002189-2
Feckenham 400kV Substation,FECK4,NGET,a0l4L0000005ikr,PRO-002189-3
Feckenham 400kV Substation,FECK4,NGET,a0l4L0000005iOw,PRO-001600
Feckenham 400kV Substation,FECK4,NGET,a0l4L0000005iM7,PRO-002378
Feckenham 400kV Substation,FECK4,NGET,a0l4L0000005iit,PRO-001767
Feckenham 400kV Substation,FECK4,NGET,a0l4L0000005ibT,PRO-001008-1
Feckenham 400kV Substation,FECK4,NGET,a0l4L0000005ibT,PRO-001008-2
Feckenham GSP,FECK6,NGET,a0l4L0000005iVi,PRO-000198
Fell Wind Farm 132/33kV Substation,0,SPT,a0l4L0000005izP,PRO-001755
Ferrybridge B 132kV Substation,FERR1,NGET,a0l4L0000005j8V,PRO-002521
Ferrybridge B 132kV Substation,FERR1,NGET,a0l8e0000010wkq,PRO-002815
Ferrybridge B 132kV Substation,FERR1,NGET,a0l4L0000005ikA,PRO-001614
Ferrybridge B GSP,FERR1,NGET,a0l8e000001201H,PRO-003608
Ferrybridge B GSP,FERR1,NGET,a0l8e00000120Iq,PRO-003620
Ferrybridge B GSP,FERR1,NGET,a0l8e0000010wjd,PRO-002802
Ferrybridge B GSP,FERR1,NGET,a0l8e000000evgB,PRO-003633
Ferrybridge C 275kV Substation,FERR2,NGET,a0l8e000000evg6,PRO-003632
Ferrybridge C 275kV Substation,FERR2,NGET,a0l4L0000005iac,PRO-001020-1
Ferrybridge C 275kV Substation,FERR2,NGET,a0l4L0000005iac,PRO-001020-2
Ferrybridge C 275kV Substation,FERR2,NGET,a0l4L0000005iac,PRO-001020-3
Fetteresso GSP,0,SHET,a0l4L0000005iUU,PRO-002299
Ffestiniog 275kV Substation,FFES2,NGET,a0l4L0000005im9,PRO-000055
Fiddes GSP,0,SHET,a0l4L0000005iVB,PRO-000086
Fiddes GSP,0,SHET,a0l4L0000005iNs,PRO-001831
Fiddes GSP,0,SHET,a0l4L0000005iSs,PRO-001966
Fiddes GSP,0,SHET,a0l4L0000005iQq,PRO-000895
Fiddlers Ferry 275kV Substation,FIDF2,NGET,a0l8e000000f4xW,PRO-003897
Fiddlers Ferry 275kV Substation,FIDF2,NGET,a0l4L0000005iYJ,PRO-001932
Fiddlers Ferry 275kV Substation,FIDF2,NGET,a0l4L0000005ihm,PRO-001762
Fife Energy Centre 132kV substation,0,SPT,a0l4L0000005iPY,PRO-001868
Fife Grid Services Facility 275kV Substation,0,SPT,a0l4L0000005inR,PRO-000453
Fife Grid Services Facility 275kV Substation,0,SPT,a0l4L0000005iOR,PRO-000856
Fife Grid Services Facility 275kV Substation,0,SPT,a0l4L0000005iP9,PRO-001653
Finlarig GSP,0,SHET,a0l4L0000005imm,PRO-000079
Five Estuaries 220/66 kV Offshore Substation,EACN4,NGET,a0l4L0000005izv,PRO-000450
Fleet 132KV Substation,FLEE1,NGET,a0l8e000000f4xb,PRO-003898
Fleet 400kV Substation,FLEE4,NGET,a0l4L0000005izA,PRO-001087
Fleet 400kV Substation,FLEE4,NGET,a0l4L0000005ipw,PRO-000544-1
Fleet 400kV Substation,FLEE4,NGET,a0l4L0000005ipw,PRO-000544-2
Fleet 400kV Substation,FLEE4,NGET,a0l8e0000010wYY,PRO-002678
Fleet 400kV Substation,FLEE4,NGET,a0l8e0000010wdu,PRO-002739
Fleet 400kV Substation,FLEE4,NGET,a0l8e0000010wkl,PRO-002814
Fleet 400kV Substation,FLEE4,NGET,a0l4L0000005j00,PRO-000429
Fleet 400kV Substation,FLEE4,NGET,a0l8e000000expy,PRO-003746
Folly Farm 132kV Substation,0,NGET,a0l4L0000005iX5,PRO-002347
Fort Augustus GSP,0,SHET,a0l8e0000012i3d,PRO-004599
Fort Augustus GSP,0,SHET,a0l4L0000005imo,PRO-000081
Fourstones GSP,FOUR2,NGET,a0l8e000000ViF9,PRO-004344
Foyers 275kV Substation,0,SHET,a0l4L0000005imn,PRO-000080
Frodsham 275kV Substation,FROD2,NGET,a0l4L0000005iSr,PRO-001952
Frodsham 400kV Substation,FROD4,NGET,a0l8e0000011yXg,PRO-003519
Frodsham 400kV Substation,FROD4,NGET,a0l8e0000010wOP,PRO-002571
Future Swansea North 132kV,SWAN1,NGET,a0l4L0000005ia8,PRO-002011
Fyrish 275kV Substation,0,SHET,a0l4L0000005iM8,PRO-002376
Gabbard 33/132kV Offshore Substation,LEIS1,OFTO,a0l4L0000005iox,PRO-000168
Gala North 400/132kV Substation,0,SPT,a0l8e0000010wTT,PRO-002623
