Connection Site,etys_sub_map,HOST TO,Project ID,Project No
ARVEN 400/66KV OFFSHORE SUBSTATION,0,SHET,a0l8e000000TPOF,PRO-003288
Auchentiber Farm BESS 400kV Substation,0,SPT,a0l8e0000011zs9,PRO-003601
Aultmore Wind Farm 132/33kV Substation,0,SHET,a0l8e000000f6Jj,PRO-003975
Axminster 400kV Substation,AXMI4,NGET,a0l4L0000005ixi,PRO-001740
Axminster 400kV Substation,AXMI4,NGET,a0l4L0000005ixv,PRO-001017
Axminster 400kV Substation,AXMI4,NGET,a0l4L0000005iuf,PRO-001143
Axminster 400kV Substation,AXMI4,NGET,a0l4L0000005ixw,PRO-001356-1
Axminster 400kV Substation,AXMI4,NGET,a0l4L0000005ixw,PRO-001356-2
Axminster 400kV Substation,AXMI4,NGET,a0l4L0000005ixw,PRO-001356-3
Ayr 275/33 kV Substation,0,SPT,a0l8e000000f3zI,PRO-003801
Ayr 275/33 kV Substation,0,SPT,a0l8e0000011zmY,PRO-003596
Ayr 275/33 kV Substation,0,SPT,a0l8e000000TPRt,PRO-003421
Ayr 275/33 kV Substation,0,SPT,a0l4L0000005iXi,PRO-002359
Ayr 275/33 kV Substation,0,SPT,a0l4L0000005iXo,PRO-001826
Ayrshire Grid 400kV Substation,0,SPT,a0l4L0000005igz,PRO-001155
Ayrshire Grid 400kV Substation,0,SPT,a0l4L0000005iNg,PRO-001644
Baillie 275KV Substation,0,SHET,a0l4L0000005ig3,PRO-001701
Bainsford 132kV Substation,0,SPT,a0l4L0000005iWY,PRO-002151
Balliemeanoch 275kV Substation,0,SHET,a0l4L0000005iRO,PRO-001901
Bankend Rig III Windfarm 132/33kV Substation,0,SPT,a0l8e000000TPcZ,PRO-003451
Barking 275kV Substation,BARK2,NGET,a0l8e0000011yTT,PRO-003518
Barrow 132/33kV Offshore Substation,HARK1,OFTO,a0l4L0000005ilX,PRO-000022
Basingstoke East 400kV Substation,BASI4,NGET,a0l8e0000010wYJ,PRO-002675
Bathgate 132/33kV Substation,0,SPT,a0l8e000000TPDM,PRO-003201
Bathgate 400kV Substation,0,SPT,a0l8e000000f7gR,PRO-004011
Beatrice 400kV Substation,BEAT4,OFTO,a0l4L0000005ihi,PRO-001757
Beatrice 400kV Substation,BEAT4,SHET,a0l4L0000005ilY,PRO-000025
Beauly GSP,0,SHET,a0l8e000000exTq,PRO-003731
Beauly GSP,0,SHET,a0l4L0000005iop,PRO-000156
Beaw Field 132/33kV Substation,0,SHET,a0l4L0000005iya,PRO-000026
Beddington 132kV Substation,BEDD1,NGET,a0l8e000000TPAX,PRO-003170
Beddington 132kV Substation,BEDD1,NGET,a0l8e0000011zPI,PRO-003577
Beech Street/City Road Substation,CITR1,NGET,a0l4L0000005iUt,PRO-000027
Beinn Tharsuinn Extension 132/33kV Substation,0,SHET,a0l4L0000005iaN,PRO-001035
Beinneun 132kV Substation,0,SHET,a0l4L0000005ilZ,PRO-000031
Bellbroughton 275kV Energy Park,BELB2,NGET,a0l8e0000010wlo,PRO-002826
Benbrack Wind Farm 132/33kV Substation,0,SPT,a0l4L0000005ila,PRO-000032
Berkswell 275kV Substation,BESW2,NGET,a0l4L0000005iy3,PRO-000516-1
Berkswell 275kV Substation,BESW2,NGET,a0l4L0000005iy3,PRO-000516-2
Berkswell 275kV Substation,BESW2,NGET,a0l4L0000005ixb,PRO-001788
Berkswell B 275kV Substation,BESW2,NGET,a0l8e000000f4n0,PRO-003868
Berkswell GSP,BESW1,NGET,a0l8e000000f3zX,PRO-003804
Berry Burn GSP,0,SHET,a0l4L0000005iUG,PRO-001558
Berry Burn GSP,0,SHET,a0l4L0000005iUx,PRO-000033
Berry Burn GSP,0,SHET,a0l4L0000005iU6,PRO-001743
Berry Burn GSP,0,SHET,a0l4L0000005iXz,PRO-002328
Berry Burn GSP,0,SHET,a0l4L0000005iVw,PRO-000253
Berwick Bank A 275/66kV Offshore Substation,0,SPT,a0l8e0000010wTn,PRO-002627
Berwick Bank B 275/66kV Offshore Substation,0,SPT,a0l8e000000snsQ,PRO-002628-1
Berwick Bank B 275/66kV Offshore Substation,0,SPT,a0l8e000000snsQ,PRO-002628-2
Bhlaraidh 132/33kV Substation,0,SHET,a0l4L0000005iln,PRO-000383
Bhlaraidh 132/33kV Substation,0,SHET,a0l4L0000005ilb,PRO-000034
Bicker Fen 400kV Substation,BICF4,NGET,a0l4L0000005iZP,PRO-001984
Bicker Fen 400kV Substation,BICF4,NGET,a0l4L0000005iaO,PRO-001034-1
Bicker Fen 400kV Substation,BICF4,NGET,a0l4L0000005iaO,PRO-001034-2
Bicker Fen 400kV Substation,BICF4,NGET,a0l4L0000005itR,PRO-001046-1
Bicker Fen 400kV Substation,BICF4,NGET,a0l4L0000005itR,PRO-001046-2
Bicker Fen 400kV Substation,BICF4,NGET,a0l8e0000010wOi,PRO-002575
Bicker Fen 400kV Substation,BICF4,NGET,a0l8e0000012gYu,PRO-004417
Bicker Fen 400kV Substation,BICF4,NGET,a0l4L0000005ixu,PRO-001903
Bicker Fen 400kV Substation,BICF4,NGET,a0l4L0000005iXj,PRO-002118
Bicker Fen 400kV Substation,BICF4,NGET,a0l8e0000012gcN,PRO-004443
Biggleswade 400kV Substation,WYMO4,NGET,a0l8e000000TPRK,PRO-003415
Biggleswade 400kV Substation,WYMO4,NGET,a0l4L0000005iyj,PRO-002165
Biggleswade 400kV Substation,WYMO4,NGET,a0l8e000001Hxbq,PRO-004279
Biggleswade 400kV Substation,WYMO4,NGET,a0l8e000000ViAS,PRO-004337
Birkenhead 275kV Substation,BIRK2,NGET,a0l4L0000005iS4,PRO-001298
Bishop Dal 132kV Substation,0,SPT,a0l4L0000005iyJ,PRO-002361
Bishops Wood 275kV Substation,BISW2,NGET,a0l4L0000005iUb,PRO-002442
Bishops Wood GSP,BISW1,NGET,a0l8e000000exlg,PRO-003744
Bispham Primary 33kV Substation,HEYS1,NGET,a0l8e0000010xgo,PRO-003080
Blackcraig Wind Farm,0,SPT,a0l4L0000005ilc,PRO-000035
Blackhill 132kV Substation,0,SPT,a0l4L0000005ilo,PRO-000374
Blackhillock 275kV Substation,0,SHET,a0l4L0000005iZ0,PRO-001970
Blackhillock 275kV Substation,0,SHET,a0l8e000000TPc0,PRO-003444
Blackhillock 275kV Substation,0,SHET,a0l8e0000010wcr,PRO-002727
Blackhillock 275kV Substation,0,SHET,a0l4L0000005iNT,PRO-001624-1
Blackhillock 275kV Substation,0,SHET,a0l4L0000005iNT,PRO-001624-2
Blackhillock 400kV Substation,0,SHET,a0l4L0000005iuP,PRO-002415
Blackhillock substation,0,SHET,a0l8e0000011z3K,PRO-003565
Blacklaw Extension 132kV Substation,0,SPT,a0l4L0000005ilz,PRO-000037
Blacklaw Wind Farm Substation,0,SPT,a0l4L0000005ild,PRO-000036-1
Blacklaw Wind Farm Substation,0,SPT,a0l4L0000005ild,PRO-000036-2
Blarghour Substation,0,SHET,a0l4L0000005ita,PRO-000398
Blyth 275kV Substation,BLYT2,NGET,a0l8e0000010wl0,PRO-002817
Blyth 400kV Substation,BLYT4,NGET,a0l4L0000005io7,PRO-000513
Blyth 400kV Substation,BLYT4,NGET,a0l4L0000005j8Q,PRO-002520
Blyth 400kV Substation,BLYT4,NGET,a0l4L0000005iwT,PRO-001717
Blyth 400kV Substation,BLYT4,NGET,a0l8e0000011yx6,PRO-003555
Blyth GSP,BLYT1,NGET,a0l4L0000005iVy,PRO-000255
Bodelwyddan 400kV Substation,BODE4,NGET,a0l4L0000005ipB,PRO-000529-1
Bodelwyddan 400kV Substation,BODE4,NGET,a0l4L0000005ipB,PRO-000529-2
Bodelwyddan 400kV Substation,BODE4,NGET,a0l4L0000005iPC,PRO-001657
Bodelwyddan 400kV Substation,BODE4,NGET,a0l8e000000f4rr,PRO-003877
Bodelwyddan 400kV Substation,BODE4,NGET,a0l4L0000005iek,PRO-001500
Bodelwyddan 400kV Substation,BODE4,NGET,a0l4L0000005icj,PRO-001079
Bodelwyddan 400kV Substation,BODE4,NGET,a0l8e000000f40u,PRO-003816
Bodinglee Wind Farm 132kV,0,SPT,a0l4L0000005iZQ,PRO-001985
Bolney 132kV Substation,BOLN1,NGET,a0l4L0000005iUN,PRO-001591
Bolney 400kV Substation,BOLN4,NGET,a0l4L0000005iaR,PRO-001031
