,GSP,DemandPk,DemandAM,DemandPM
493,SASA,40.921,0.739,3.8379999999999996
494,SBAR,161.562,44.802,90.097
495,SEAB1,326.453,105.978,149.823
496,SELL_1,126.251,22.345,141.93
497,SFEG_P,5.747,2.3480000000000003,3.262
498,SFIL_P,2.698,0.116,0.428
499,SHEC_3,70.073,24.287000000000003,35.431
500,SHIN_P,2.104,4.743,6.734
501,SHRU,52.625,21.271,44.446
502,SHRW_1,91.904,48.546,107.838
503,SIGH,91.277,34.294000000000004,72.063
504,SJOW_1,583.889,246.37099999999998,345.606
505,SKLGB1,500.90799999999996,176.853,223.688
506,SLOY_P,2.116,11.25,15.125
507,SMAN_1,318.75199999999995,115.63900000000001,148.297
508,SPAV,30.719,11.826,24.983
509,SPEN_1,221.77200000000002,52.664,98.433
510,SSHI_3,65.434,11.857000000000001,19.091
511,STAH_1,127.989,16.984,57.574
512,STAL_1,330.11699999999996,112.156,141.796
513,STAY_1,225.591,81.108,163.332
514,STEN_1,203.724,64.017,91.60900000000001
515,STES_1,194.213,75.482,110.693
516,STHA,50.364999999999995,14.75,30.391000000000002
517,STIR,54.115,35.201,73.419
518,STLE,39.467,5.541,13.161999999999999
519,STRI_P,20.323,0.278,1.082
520,SUND_1,598.269,159.406,218.72899999999998
521,SWAN_1,569.356,158.602,293.37300000000005
522,TARL_P,18.801000000000002,2.153,5.559
523,TAUN1,134.078,35.595,62.052
524,TAYN_P,31.082,5.896,8.819
525,TELR,25.047,8.647,17.765
526,TEMP_3,10.51,2.2510000000000003,3.0260000000000002
527,THOM_6,133.893,26.372,75.40899999999999
528,THSO_P,30.268,0.265,1.151
529,THUR_6,206.24599999999998,49.05,67.397
530,TILBB_1,205.95999999999998,56.378,72.054
531,TONG,28.18,7.112,14.985
532,TOTT_1,306.469,83.244,123.183
533,TRAW_1,115.69900000000001,66.935,100.641
534,TUMB_P,13.574,0.48,2.6069999999999998
535,TYNE_1,136.615,41.795,61.019
536,TYNE_2,56.172,7.816,15.171
537,T_ANGLD-1,0.0,0.0,0.0
538,T_BAGED-1,8.643,8.643,8.643
539,T_BAGTD-1,3.649,3.649,3.649
540,T_BARK-CTRL,29.985,29.985,29.985
541,T_BARK_NR,4.846,4.846,4.846
542,T_BPGRD-1,87.495,87.495,87.495
543,T_BPGRD-2,0.0,0.0,0.0
544,T_BRER_RTK,19.49,19.49,19.49
545,T_BUSH_RTK,17.817,17.817,17.817
546,T_CASKD-1,116.677,116.677,116.677
547,T_CHAPD-1,0.0,0.0,0.0
